trial,time,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85
2,0.0,0.10615698,0.0,0.067374885,0.0,0.0,0.0,0.0,0.0,0.040773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00089580595,0.0,0.0,0.0,0.0,0.0,1.04312785e-05,0.0025628186,0.0,0.0,0.05542938,0.0,0.0,0.047172192,0.0,0.0018095963,0.0,0.015323189,0.0034816298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014687297,0.0,0.0,0.0,0.0,0.0,0.0,0.0011967687,0.062939465,0.0,0.0,0.0,0.0,0.0,6.967603e-06,0.0006206512,0.0,0.0,0.0032541777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033693009,0.0
2,0.03299999999999999,0.10867223,0.0,0.04445435,0.0,0.0,9.586418e-05,0.0,0.0,0.07853134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004377659,0.0,0.0,0.0,0.0010902162,0.0,5.61664e-06,0.005420209,0.0,0.0,0.10574189,0.0,0.0,0.055817936,0.0,0.0,6.48373e-06,0.026401404,0.017024565,0.0,0.0014823029,0.01816203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046915165,0.0022908992,0.0,0.0,0.00078746583,0.0,0.0,0.026880484,0.039193694,0.0,0.0,0.0,0.0,0.00011886066,2.5196976e-05,0.00057042233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003105889,0.0021548395,0.0
2,0.06599999999999999,0.09116017,0.0010984376,0.027875898,0.0,0.0021271629,0.0,0.0,0.0,0.059145495,0.0,0.0,0.0004784416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024881498,0.0,0.0,0.0,0.00021811016,0.0,1.6644159e-05,0.0,0.0,0.0,0.11324007,0.0,0.0,0.0399621,0.0,0.0,0.0,0.021514606,0.001692105,0.0,0.0,0.066677205,0.0,0.0,0.0,0.0,0.0,0.010874264,0.0,0.0,0.00017986986,0.0,0.0,0.0,0.0028412535,0.0,0.0,0.0,0.0,0.0,0.0,0.060834445,0.02836967,0.0,0.0,0.0,0.0,0.00022746771,8.2983825e-05,0.0003968718,0.0,0.0,9.852922e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033167776,0.00980209,0.0
2,0.09899999999999999,0.063608065,0.0,0.0039303293,0.0,0.0,8.287497e-05,0.02836482,0.0,0.045732293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039668907,0.0,0.0,0.0,0.0,0.0,6.375035e-06,0.0047014453,0.023051204,0.0,0.08238425,0.022364356,0.0,0.039225988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053128295,0.0,0.0,0.0,0.0,0.0,0.0019403882,0.0,0.0,0.0,0.0,0.0,0.0,0.0010629836,0.0,0.0,0.0,0.0,0.0,4.281906e-05,0.042369314,0.016302716,0.0,0.0,0.0,0.0,0.0,1.0866383e-05,0.0007731439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06568424,0.0
2,0.132,0.038999654,0.0,4.5565233e-05,0.0,0.00021039424,0.0,0.03087571,0.0,0.016602235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002619895,0.0,0.0,0.0,0.0008195427,0.0,1.211675e-05,0.002025543,0.015085811,0.0,0.095793255,0.09746303,0.0,0.02155149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04424698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067609986,0.0,0.0,0.0,0.0,0.0,3.6480365e-06,0.031009657,0.030383108,0.0,0.0,0.0,0.0012259985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0740244,0.0
2,0.16700000000000004,0.043714017,0.0,0.0030759843,0.0,0.0,0.0,0.02848481,0.0,0.021913625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005254337,0.00034449316,0.0,0.0,0.0,0.0,1.523391e-05,0.008081799,0.009365876,0.0,0.068489246,0.08895964,0.0,0.024395632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036062803,0.0,0.0,0.0038053044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004416014,0.0,0.0,0.0331553,0.015696758,0.0,0.0,0.0,0.0,0.0,0.0001635301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029144227,0.05798194,0.0
2,0.2,0.016440328,0.0,0.0,0.0,0.0,0.0,0.018525379,0.0,0.007973552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8941196e-06,0.0072510927,0.0005003077,0.0,0.08433925,0.06882087,0.0,0.019688705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01925799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037466155,0.0,0.0,0.0041952785,0.0,0.0,0.0,0.0,0.0,1.3310705e-05,0.016938275,0.011596139,0.0,0.0,0.0,0.0,0.0,3.086774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020172258,0.035323687,0.0
2,0.23399999999999999,0.01622284,0.0,0.0009859406,0.0,0.0,0.0,0.01554689,0.0,0.0026827063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010688849,1.6249045e-05,0.002612462,0.0023813786,0.0,0.052386776,0.05824242,0.0,0.0075194477,0.0,0.0,1.8520046e-06,0.0,0.0,0.0,0.0,0.008675261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032821347,0.0,3.4603618e-05,0.005624021,0.0,0.0,0.0004638855,0.0,0.0,0.0,0.00021986874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028866565,0.0
2,0.267,0.017141651,0.0,0.0001835598,0.0,0.0,0.0,0.0035866299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003538636,0.0006467281,0.0,0.048107382,0.03796309,0.0,0.010339839,0.0,0.0,5.2118944e-06,0.0,0.0,0.0,0.0,0.0059889895,0.0,0.0,0.0051285233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.054181e-05,0.0073368778,0.004246276,0.0,0.0,0.0,0.0,0.0,0.00010646053,0.0003711227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002602549,0.018227382,0.0
2,0.301,9.756367e-05,0.0,0.004486122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1290974e-06,0.006661172,0.0,0.0,0.035905644,0.029088097,0.0,0.029554207,0.0,0.0,6.6100306e-06,0.0,0.0,0.0,0.010702339,0.0,0.0,0.0,0.045215886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6961814e-06,0.0,0.0014722929,7.063935e-05,0.0,9.548918e-05,0.0,0.0,0.0,0.0023570599,0.0,4.722691e-05,0.0,0.0,0.0,0.00067430746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008905437,0.065687336,0.0
